time(s),Dist_cmd(m),Dept_cmd(m),AOA_cmd(Deg),SwingAng_cmd(Deg),BoomAng_cmd(Deg),ArmAng_cmd(Deg),BktAng_cmd(Deg),Dist_cur(m),Dept_cur(m),AOA_cur(Deg),SwingAng_cur(Deg),BoomAng_cur(Deg),ArmAng_cur(Deg),BktAng_cur(Deg),excavation state
1716454759.9088237,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.616195412496204,-1.789771857918951,-36.10000000000001,3.9,20.6,-87.4,30.7,init_state
1716454760.0115469,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.616195412496204,-1.789771857918951,-36.10000000000001,3.9,20.6,-87.4,30.7,init_state
1716454760.1142757,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.616195412496204,-1.789771857918951,-36.10000000000001,3.9,20.6,-87.4,30.7,init_state
1716454760.2249787,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.606086851125657,-1.809623365319092,-36.300000000000004,3.9,20.5,-87.5,30.7,init_state
1716454760.3257937,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.613058549691349,-1.8048072222007692,-36.20000000000001,3.9,20.5,-87.4,30.7,init_state
1716454760.4284058,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.613058549691349,-1.8048072222007692,-36.20000000000001,3.9,20.5,-87.4,30.7,init_state
1716454760.5321574,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.616195412496204,-1.789771857918951,-36.10000000000001,3.8,20.6,-87.4,30.7,init_state
1716454760.633888,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.616195412496204,-1.789771857918951,-36.10000000000001,3.8,20.6,-87.4,30.7,init_state
1716454760.738606,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.616195412496204,-1.789771857918951,-36.10000000000001,3.8,20.6,-87.4,30.7,init_state
1716454760.8423915,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.616195412496204,-1.789771857918951,-36.10000000000001,3.8,20.6,-87.4,30.7,init_state
1716454760.945025,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.616195412496204,-1.789771857918951,-36.10000000000001,3.8,20.6,-87.4,30.7,init_state
1716454761.0557287,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.616195412496204,-1.789771857918951,-36.10000000000001,3.7,20.6,-87.4,30.7,init_state
1716454761.1575491,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.616195412496204,-1.789771857918951,-36.10000000000001,3.7,20.6,-87.4,30.7,init_state
1716454761.2601824,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.616195412496204,-1.789771857918951,-36.10000000000001,3.7,20.6,-87.4,30.7,init_state
1716454761.3639343,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.616195412496204,-1.789771857918951,-36.10000000000001,3.8,20.6,-87.4,30.7,init_state
1716454761.4706192,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.616195412496204,-1.789771857918951,-36.10000000000001,3.8,20.6,-87.4,30.7,init_state
1716454761.5733747,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.616195412496204,-1.789771857918951,-36.10000000000001,3.8,20.6,-87.4,30.7,init_state
1716454761.6803596,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.616195412496204,-1.789771857918951,-36.10000000000001,3.8,20.6,-87.4,30.7,init_state
1716454761.7827857,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.616195412496204,-1.789771857918951,-36.10000000000001,3.8,20.6,-87.4,30.7,init_state
1716454761.8977716,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.616195412496204,-1.789771857918951,-36.10000000000001,3.8,20.6,-87.4,30.7,init_state
1716454762.0002072,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.616195412496204,-1.789771857918951,-36.10000000000001,3.8,20.6,-87.4,30.7,init_state
1716454762.102222,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.616195412496204,-1.789771857918951,-36.10000000000001,3.8,20.6,-87.4,30.7,init_state
1716454762.2056868,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.616195412496204,-1.789771857918951,-36.10000000000001,3.8,20.6,-87.4,30.7,init_state
1716454762.3086782,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.616195412496204,-1.789771857918951,-36.10000000000001,3.8,20.6,-87.4,30.7,init_state
1716454762.4111812,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.616195412496204,-1.789771857918951,-36.10000000000001,3.8,20.6,-87.4,30.7,init_state
1716454762.5138597,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.616195412496204,-1.789771857918951,-36.10000000000001,3.8,20.6,-87.4,30.7,init_state
1716454762.619577,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.616195412496204,-1.789771857918951,-36.10000000000001,3.8,20.6,-87.4,30.7,init_state
1716454762.722344,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.616195412496204,-1.789771857918951,-36.10000000000001,3.8,20.6,-87.4,30.7,init_state
1716454762.82403,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.616195412496204,-1.789771857918951,-36.10000000000001,3.8,20.6,-87.4,30.7,init_state
1716454762.927764,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.616195412496204,-1.789771857918951,-36.10000000000001,3.8,20.6,-87.4,30.7,init_state
1716454763.0304785,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.616195412496204,-1.789771857918951,-36.10000000000001,3.8,20.6,-87.4,30.7,init_state
1716454763.1342008,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.616195412496204,-1.789771857918951,-36.10000000000001,3.8,20.6,-87.4,30.7,init_state
1716454763.2371218,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.616195412496204,-1.789771857918951,-36.10000000000001,3.8,20.6,-87.4,30.7,init_state
1716454763.341097,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.616195412496204,-1.789771857918951,-36.10000000000001,3.8,20.6,-87.4,30.7,init_state
1716454763.4443433,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.616195412496204,-1.789771857918951,-36.10000000000001,3.8,20.6,-87.4,30.7,init_state
1716454763.548101,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.616195412496204,-1.789771857918951,-36.10000000000001,3.8,20.6,-87.4,30.7,init_state
1716454763.6537824,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.613058549691349,-1.8048072222007692,-36.20000000000001,3.8,20.5,-87.4,30.7,init_state
1716454763.7595007,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.616195412496204,-1.789771857918951,-36.10000000000001,3.8,20.6,-87.4,30.7,init_state
1716454763.8622262,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.613058549691349,-1.8048072222007692,-36.20000000000001,3.8,20.5,-87.4,30.7,init_state
1716454763.9642532,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.613058549691349,-1.8048072222007692,-36.20000000000001,3.8,20.5,-87.4,30.7,init_state
1716454764.0666792,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.613058549691349,-1.8048072222007692,-36.20000000000001,3.8,20.5,-87.4,30.7,init_state
1716454764.170495,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.616195412496204,-1.789771857918951,-36.10000000000001,3.8,20.6,-87.4,30.7,init_state
1716454764.275151,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.616195412496204,-1.789771857918951,-36.10000000000001,3.8,20.6,-87.4,30.7,init_state
1716454764.3768804,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.613058549691349,-1.8048072222007692,-36.20000000000001,3.8,20.5,-87.4,30.7,init_state
1716454764.4805982,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,8.613058549691349,-1.8048072222007692,-36.20000000000001,3.8,20.5,-87.4,30.7,init_state
